"No.","Time","Source","Destination","Protocol","Length","Info"
"89","1.373289","","HuaweiTe_14:8e:6e (b0:55:08:14:8e:6e) (RA)","802.11","10","Acknowledgement, Flags=........"
"90","1.375367","OneplusT_f2:a1:d8","56:9c:6a:8b:81:f2","802.11","198","Probe Response, SN=1243, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"91","1.375338","","OneplusT_f2:a1:d8 (c0:ee:fb:f2:a1:d8) (RA)","802.11","10","Acknowledgement, Flags=........"
"92","1.389674","","Cisco-Li_2f:54:f7 (68:7f:74:2f:54:f7) (RA)","802.11","10","Acknowledgement, Flags=........"
"93","1.391238","OneplusT_f2:a1:d8","56:9c:6a:8b:81:f2","802.11","198","Probe Response, SN=1244, FN=0, Flags=........, BI=100, SSID=jamnik"
"94","1.391721","","OneplusT_f2:a1:d8 (c0:ee:fb:f2:a1:d8) (RA)","802.11","10","Acknowledgement, Flags=........"
"95","1.413767","OneplusT_f2:a1:d8","56:9c:6a:8b:81:f2","802.11","198","Probe Response, SN=1246, FN=0, Flags=........, BI=100, SSID=jamnik"
"96","1.415814","OneplusT_f2:a1:d8","56:9c:6a:8b:81:f2","802.11","198","Probe Response, SN=1246, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"97","1.417862","OneplusT_f2:a1:d8","56:9c:6a:8b:81:f2","802.11","198","Probe Response, SN=1246, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"98","1.435269","OneplusT_f2:a1:d8","56:9c:6a:8b:81:f2","802.11","198","Probe Response, SN=1247, FN=0, Flags=........, BI=100, SSID=jamnik"
"99","1.436808","OneplusT_f2:a1:d8","56:9c:6a:8b:81:f2","802.11","198","Probe Response, SN=1247, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"100","1.438854","OneplusT_f2:a1:d8","56:9c:6a:8b:81:f2","802.11","198","Probe Response, SN=1247, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"101","1.460304","OneplusT_f2:a1:d8","56:9c:6a:8b:81:f2","802.11","198","Probe Response, SN=1248, FN=0, Flags=........, BI=100, SSID=jamnik"
"102","1.460313","","OneplusT_f2:a1:d8 (c0:ee:fb:f2:a1:d8) (RA)","802.11","10","Acknowledgement, Flags=........"
"103","1.480837","OneplusT_f2:a1:d8","56:9c:6a:8b:81:f2","802.11","198","Probe Response, SN=1249, FN=0, Flags=........, BI=100, SSID=jamnik"
"104","1.489542","OneplusT_f2:a1:d8","56:9c:6a:8b:81:f2","802.11","198","Probe Response, SN=1249, FN=0, Flags=....R..., BI=100, SSID=jamnik"
